			
5nM			
0	319.9196326	106.6740988	265.2231719
6	539.4031479	528.0076829	373.8291815
12	523.7678489	507.7483361	327.0804231
18	460.4567008	497.6844042	409.5836606
24	217.4746046	228.0688038	114.7668754
30	59.18542337	68.12384045	209.0739167
36	314.5542024	164.6359438	291.7607049
42	80.25	135.4516956	114.8646125
48	1098.193167	517.7256913	738.041958
54	3015.34795	3186.660269	2205.198358
60	577.3536896	653.4046014	437.5
10nM			
0	221.7948718	83.73838722	209.7245964
6	199.4156148	215.9944124	157.430605
12	207.0244127	208.0246138	130.8022351
18	163.7758922	194.402699	157.1877455
24	156.4742189	133.4636435	114.7112039
30	273.3869239	294.0862709	242.3364486
36	296.5418734	162.4938587	255.3408564
42	37.94642857	61.27101738	73.14659197
48	372.8318003	199.7619484	219.5337995
54	1305.433746	1479.654511	1544.528044
60	154.1075972	181.4780386	117.5736236
20nM			
0	218.1400689	81.8729097	225.9259259
6	158.1346424	167.3039986	130.9181495
12	182.6001842	190.3930679	124.1169427
18	127.676566	157.8898942	134.9698874
24	332.6861258	267.9906177	249.0883786
30	155.6162915	171.6256957	145.4120646
36	93.70019546	66.4537683	114.2062143
42	217.0892857	398.2901111	242.9505135
48	257.0959264	122.8895807	239.9067599
54	569.8760724	670.0575816	403.0779754
60	96.25590694	120.288171	70.31049936
30nM			
0	286.2035974	134.2251951	343.7796771
6	206.2568178	233.237297	171.5160142
12	560.3869185	597.3879191	425.5837158
18	632.7801348	703.9411133	543.8465567
24	644.4644464	798.6395622	561.1830202
30	420.5251876	438.9030612	359.2353441
36	390.7382349	276.0833251	519.8021333
42	204.2142857	495.2408093	353.2586368
48	1337.647832	549.8443509	685.6643357
54	4394.947569	3052.783109	2267.373461
60	837.1137768	673.1117825	485.4993598
40nM			
0	280.8457711	102.0438499	224.311491
6	181.6503039	222.2542343	167.3523132
12	235.2372179	253.9871908	174.5160647
18	495.1584727	512.467413	477.1406127
24	347.691912	340.719312	286.5553236
30	143.5691318	232.6994434	191.8776551
36	156.7734175	106.1707772	179.0539496
42	252.3392857	492.7329724	317.3669468
48	661.892247	372.6240615	662.6573427
54	926.5014299	862.2840691	531.121751
60	176.6448564	208.8078085	124.2797695
50nM			
	284.4431688	97.02712746	171.0161443
	316.1601995	295.2680286	214.0355872
	379.8825426	391.6991084	241.3490321
	308.8594959	339.4878086	239.8402723
	291.2048348	342.7052385	257.4530271
	406.7416935	260.5635436	246.0407816
	306.9012179	199.8624349	283.8769516
	110.0178571	297.0361926	164.9112979
	466.130092	281.3037905	249.6037296
	1412.297426	1455.758157	723.3926129
	243.4751	329.188938	161.2195903
			
			
